n,index,total,a1,a2,a3,a4,min_regions,seed_points,expected_regions (n+1)(n+2),matches_expected
-1,1,57,0,0,0,0,1,0,0,FALSE
-1,2,57,0,0,1,1,4,0,0,FALSE
-1,3,57,0,1,0,1,4,0,0,FALSE
-1,4,57,0,1,1,0,4,0,0,FALSE
-1,5,57,1,0,0,1,4,0,0,FALSE
-1,6,57,1,0,1,0,4,0,0,FALSE
-1,7,57,1,1,0,0,4,0,0,FALSE
-1,8,57,1,1,1,1,8,0,0,FALSE
-1,9,57,1,1,2,2,16,1,0,FALSE
-1,10,57,1,1,2,4,25,1,0,FALSE
-1,11,57,1,1,3,3,24,1,0,FALSE
-1,12,57,1,1,3,5,36,1,0,FALSE
-1,13,57,1,2,1,2,16,1,0,FALSE
-1,14,57,1,2,1,4,25,1,0,FALSE
-1,15,57,1,2,2,1,16,1,0,FALSE
-1,16,57,1,2,2,3,25,1,0,FALSE
-1,17,57,1,2,2,5,36,1,0,FALSE
-1,18,57,1,2,3,2,25,1,0,FALSE
-1,19,57,1,2,3,4,36,1,0,FALSE
-1,20,57,1,2,3,6,49,1,0,FALSE
-1,21,57,1,3,1,3,25,1,0,FALSE
-1,22,57,1,3,1,5,36,1,0,FALSE
-1,23,57,1,3,2,2,24,1,0,FALSE
-1,24,57,1,3,2,4,36,1,0,FALSE
-1,25,57,1,3,2,6,49,1,0,FALSE
-1,26,57,1,3,3,1,25,1,0,FALSE
-1,27,57,1,3,3,3,36,1,0,FALSE
-1,28,57,1,3,3,5,49,1,0,FALSE
-1,29,57,1,3,3,7,64,1,0,FALSE
-1,30,57,1,4,1,2,25,1,0,FALSE
-1,31,57,1,4,1,4,36,1,0,FALSE
-1,32,57,1,4,1,6,49,1,0,FALSE
-1,33,57,1,4,2,1,25,1,0,FALSE
-1,34,57,1,4,2,3,36,1,0,FALSE
-1,35,57,1,4,2,5,50,1,0,FALSE
-1,36,57,1,4,2,7,64,1,0,FALSE
-1,37,57,1,4,3,2,36,1,0,FALSE
-1,38,57,1,4,3,4,49,1,0,FALSE
-1,39,57,1,4,3,6,65,1,0,FALSE
-1,40,57,1,5,1,3,36,1,0,FALSE
-1,41,57,1,5,1,5,49,1,0,FALSE
-1,42,57,1,5,1,7,64,1,0,FALSE
-1,43,57,1,5,2,2,36,1,0,FALSE
-1,44,57,1,5,2,4,49,1,0,FALSE
-1,45,57,1,5,2,6,65,1,0,FALSE
-1,46,57,1,5,3,1,36,1,0,FALSE
-1,47,57,1,5,3,3,48,1,0,FALSE
-1,48,57,1,5,3,5,64,1,0,FALSE
-1,49,57,1,5,3,7,82,1,0,FALSE
-1,50,57,1,6,1,4,49,1,0,FALSE
-1,51,57,1,6,1,6,64,1,0,FALSE
-1,52,57,1,6,2,3,49,1,0,FALSE
-1,53,57,1,6,2,5,65,1,0,FALSE
-1,54,57,1,6,2,7,82,1,0,FALSE
-1,55,57,1,6,3,2,49,1,0,FALSE
-1,56,57,1,6,3,4,64,1,0,FALSE
-1,57,57,1,6,3,6,82,1,0,FALSE
0,1,4,0,0,0,1,2,0,2,TRUE
0,2,4,0,0,1,0,2,0,2,TRUE
0,3,4,0,1,0,0,2,0,2,TRUE
0,4,4,1,0,0,0,2,0,2,TRUE
1,1,4,0,1,1,1,6,0,6,TRUE
1,2,4,1,0,1,1,6,0,6,TRUE
1,3,4,1,1,0,1,6,0,6,TRUE
1,4,4,1,1,1,0,6,0,6,TRUE
2,1,3,1,1,1,2,12,1,12,TRUE
2,2,3,1,1,2,1,12,1,12,TRUE
2,3,3,1,2,1,1,12,1,12,TRUE
3,1,7,1,1,2,3,20,1,20,TRUE
3,2,7,1,1,3,2,20,1,20,TRUE
3,3,7,1,2,1,3,20,1,20,TRUE
3,4,7,1,2,2,2,20,1,20,TRUE
3,5,7,1,2,3,1,20,1,20,TRUE
3,6,7,1,3,1,2,20,1,20,TRUE
3,7,7,1,3,2,1,20,1,20,TRUE
4,1,9,1,1,3,4,30,1,30,TRUE
4,2,9,1,2,2,4,30,1,30,TRUE
4,3,9,1,2,3,3,30,1,30,TRUE
4,4,9,1,3,1,4,30,1,30,TRUE
4,5,9,1,3,2,3,30,1,30,TRUE
4,6,9,1,3,3,2,30,1,30,TRUE
4,7,9,1,4,1,3,30,1,30,TRUE
4,8,9,1,4,2,2,30,1,30,TRUE
4,9,9,1,4,3,1,30,1,30,TRUE
5,1,11,1,2,2,6,42,1,42,TRUE
5,2,11,1,2,3,5,42,1,42,TRUE
5,3,11,1,3,2,5,42,1,42,TRUE
5,4,11,1,3,3,4,42,1,42,TRUE
